materia,dim,antes,despues,evidencia
Estudio de Diseño Visual,DV3,2,0,"Verificado contra el programa completo: 'tipografía' (o letra, fuente, texto compuesto) no aparece en el fin de aprendizaje, en ninguno de los tres bloques de contenido temático (percepción, lenguaje/elementos visuales, composición y mensaje), en las actividades bajo conducción o independientes, ni "
Estudio de Diseño Visual,DV5,3,2,"La evidencia citada existe: figuras retóricas visuales, denotación/connotación y 'Producir propuestas visuales con intención comunicativa a partir de ejercicios' muestran conceptualización aplicada dentro de ejercicios (nivel 2). Para 3 la construcción de conceptos tendría que ser el producto centra"
Estudio de Diseño Visual,DV7,2,0,"Verificado: no hay ninguna mención de identidad visual, marca, logotipo ni lenguajes de reconocimiento en fines, contenidos, actividades o evaluación. Los ejercicios son de percepción, lenguaje visual y composición bidimensional genérica. El 2 original no tiene sustento; 0 es el nivel correcto según"
Estudio de Diseño Visual,DV8,1,0,No hay contenidos editoriales ni organización secuencial texto-imagen; no aparece en el programa.
Estudio de Diseño Visual,DV9,1,0,"No hay visualización de datos, contenidos ni sistemas; no aparece en el programa."
Estudio de Diseño Visual,DV10,1,0,"'Herramientas analógicas y digitales' es medio de producción, no diseño de interfaces, comportamientos ni experiencias digitales; no aparece en el programa."
Estudio de Diseño Visual,DV11,2,0,"La evidencia citada existe textualmente: la nota del contenido temático dice que la asignatura 'se articula con Diseño Visual II... aportando el vocabulario visual y los principios de composición necesarios para trabajar con sistemas formales más complejos', es decir, remite los sistemas explícitame"
Estudio de Diseño Visual,DV12,3,2,"La evidencia citada existe: 'Investigar conceptos relacionados con percepción, composición y lenguaje visual', 'diario o bitácora gráfica', 'portafolio de trabajo individual' y análisis de referentes son investigación y proceso aplicados dentro del curso (nivel 2). Para 3 haría falta que fueran resu"
Estudio de Diseño Visual,DV14,1,0,
Estudio de Diseño Visual,NC1,1,0,"El 'receptor' aparece solo como elemento del modelo de comunicación ('emisor, código, receptor, ruido'), ya capturado por DV6; no hay estudio de necesidades, hábitos ni motivaciones de públicos."
Estudio de Diseño Visual,NC2,1,0,No hay detección de problemas u oportunidades de valor; no aparece en el programa.
Estudio de Diseño Visual,NC3,1,0,No se define beneficio ni pertinencia de una oferta creativa; no aparece en el programa.
Estudio de Diseño Visual,NC4,1,0,No hay posicionamiento frente a alternativas o competidores; no aparece en el programa.
Estudio de Diseño Visual,NC5,1,0,La única retroalimentación es 'retroalimentación académica' en clase; no hay comprobación con usuarios reales.
Estudio de Diseño Visual,NC6,2,0,"Verificado: NC6 exige transformación de una idea en una oferta implementable (producto, servicio o experiencia). El programa solo produce 'propuestas visuales bidimensionales' con intención comunicativa como ejercicios académicos; no hay mención alguna de producto, servicio, experiencia, usuario/cli"
Estudio de Diseño Visual,NC9,1,0,"No hay organización de recursos, proveedores, tiempos ni procesos de ejecución; el uso de herramientas analógicas/digitales no califica como NC9."
Estudio de Diseño Visual,NC11,1,0,"No se aborda viabilidad, operación ni sostenibilidad; no aparece en el programa."
Estudio de Diseño Visual,NC12,1,0,"Los 'proyectos parciales' son entregas académicas calificadas; no hay coordinación de alcance, equipos, clientes ni riesgos."
